text,label
northern exposure with jason bourne which is a backhanded way of saying this is far from the challenging movie it promised to be,1
who wouldnt want to see the nazis taken to task by george smiley count dracula and jeanbaptiste emanuel zorg,1
spike lees most ambitious movie is joltingly inspired at times its also offensively redundant and needs editing,1
older audiences will be offended by most of what passes for comedy in soul plane but theres no denying that younger hip hop flavored crowds should be quite amused,0
the noir of the year,1
the story leads to a game of mirrors between genre cinema and metaphor full review in spanish,1
crossing is the kind of movie that benefits from a second sitting to get a complete grip on the plot,1
the situation is suspenseful and unique enough to hold our attention for a time well in advance of the pictures climactic moments however it deteriorates into melodramatic talkiness,0
imagine quentin tarantino if he got his brow lowered,0
this is a little too slick and commanding for its own good despite crowe and dicaprios best efforts their characters keep getting flattened by the steamroller narrative,0
poorly conceived badly written and ultimately ridiculous drama with a jawdroppingly crass twist ending that backfires horribly,0
disappointing and easily peter bergs worst movie since battleship,0
uma diverso eficiente que sim poderia ter explorado sua tima premissa com mais cuidado mas que ao menos no a desperdiou com homenagens tolas e auto referenciais,1
a heartwarming comedy that reaffirms the power of personal choice while also promising to love and to cherish even the most hidebound cultures,1
a disappointingly misguided entry within a perpetually erratic franchise,0
if you love motown music youll love this documentary,1
i didnt laugh much during a very brady sequel but i did smile a lot,0
john carter has a sense of adventure a sense of fun and best of all a sense of proportion its a familyfriendly bet that honors its roots and its audience,1
perhaps it accurately conveys the more mundane side of the war on terror but that doesnt make for an entertaining film,0
it is all original interesting sympathetic and not at all moving,1
well have what theyre having,1
a sobering portrayal of a star on the decline and an insight into the toll sexism sexual abuse and the celebrity machine can have on someones mental health,1
pencil thompson in now for an oscar nomination and maybe a win and prepare to leave the theater humming the iconic songs,1
the good news is that the story of benhur is so rock solid that not even the director of abraham lincoln vampire hunter can screw it up completely,0
someday were all going to look back on this one and laaaaugh,0
cube was named best canadian debut feature at toronto last year and theres no questioning natali clearly a visionary is an important new talent,1
its then yet another credit to lawrences talent that in the finale of this series shes probably better than shes ever been,1
its a vintage example of the better angels emerging from the demented mind of a diablo,1
the film actually leaves you hoping raimi and maguire will return for one more shot at making the definitive spiderman movie because isnt it,0
for the most part gilliams visual eye drowns out his actors performances and in this case the effect is marred by a distinct familiarity to his imagined world,0
a missed opportunity to tell us more than fox news is bias,1
snow and bautista do their best but theyre being asked to play paperthin people and any character development invariably gets lost every time the filmmakers decide to embark upon another unbroken take or fancy camera maneuver,0
caddyshack a derelict farce that lurches about in search of hilarious possibilities among the members and employes of a country club is the latest misbegotten spawn of national lampoons animal house,0
rethinking what we thought we knew about love about sex about disability is what rust and bone is about be careful the film warns us we may know less about those things than we think,1
two more films are still to come allegiant parts and once again the request is simple more action and less talk next time please,0
when the most sympathetic character in the movie is a potential suicide bomber you know somethings wrong,0
can i simply come out and say what is rarely mentioned but we all know to be true the hulk is an uninspired comicbook creation,0
if you dig talking movies and want to try something thats not in the american sorkinmamet smoothtalk variety diplomacy is worth checking out,1
bobby deerfield is a big slick melodrama that knows exactly what it wants to accomplish and does so with great craft,1
a contemporary premise with serious dramatic potential is all but squandered by dull direction and emotionally clinical acting,0
this is a solid concept for a story but thats just the starting point of a movie,0
a seamless unshowy weave of chamber piece and speculative fiction at times it suggests a lofi companion piece to spike jonzes her or perhaps an unusually soothing episode of black mirror,1
its whitaker who grabs your attention and sends chills down your spine as he twists seductive charm into depraved power hes electrifying a classic example of a performer who takes a moderately intriguing movie and elevates it to mustsee status,1
an alternately nifty and nasty police procedural,1
for parents looking for a film thatll please them and their kids in equal measure paddington is as goldilocks would say in that other bear story just right,1
wahlberg could sleepwalk through this role and does see this movie and youll surely follow his lead,0
everything about this original film seemed honest and natural,1
an awful bore,0
performing has become such an integral part of americas youtube experience that people no longer seem capable of appearing authentic while on camera,0
if saraband is not one of the best bergman films its a very good one and a valuable statement from a great artist in old age,1
easygoin but uneven comedy,0
a striking implosion of incongruent themes,0
the plot is warmedover capra and its no wonderfullife yarn,0
snaps the restraints of a knackered subgenre and emerges from the heat haze of negative preconception like a prize fighter,1
it is a visceral experience starring actors at its best and filmed in a very spectacular way full review in spanish,1
this film uses the same formula but it executes the formula better than most other romantic comedies do,1
many of us missed whitney even before she left this imperfect documentary preys calmly and effectively on that longing,1
the movie unfortunately comes up a bit short in terms of insight about its subjects and subject matter,0
feels like a bigbudget dharma greg episode with toilet jokes,0
theres little here for accompanying parents or older siblings and the film never does figure out what the smurfing point of smurfette is,0
writerdirector m night shyamalan who hadnt made a truly great film since returns to form with this exciting and wellpaced adventure,1
after odd minutes of bludgeoning us into openjawed bafflement shadowboxer is best aborted and flushed away as one of s more unpleasant memories,0
in the end an elevating and in many ways exceptional experience,1
a nonessential childrens film about anthropomorphic animals where there is no other agenda than to jumpstart a dormant franchise and reestablish a global brand no second meaning for adults no complications it meets the minimum requirements,0
johnson is good at suggesting a timid teen beneath his wall of muscle gillan seems believably unsure of herself as the nerd martha while also making exposed abs look classy,1
fassbenders david is the films centerpiece rapace plays the hollywood girlfriend role instead of a steely protagonist on a messianic journey theron always commits fully to every character she plays,1
the films fantasy elements help elevate the bythenumbers rock star trajectory but the disappointing execution lacks the flamboyance that would better suit eltons life story,1
works well as a bunch of sketches stringed together but lacks a constant rhythm youve seen this story a thousand times apatow keeps telling it but with this pair at the center full review ins spanish,1
thats the glory and the difficulty of the predator its a perfect distillation of our momentand its an unfortunately perfect distillation of our moment its a shy predator movie is what im trying to say but its a great film about predators,1
one of those blessed pictures in which all elements from its writing through to its editing coalesce into a work of profound philosophical and emotional unity,1
jeanpierre and luc dardenne make great movies with such regularity they can be easy to overlook but the kid with a bike puts just enough spin on the dardennes formula to let you feel their worth anew,1
its a greatlooking movie but its a museum piece seeming too often to be posed rather than captured,0
theres little reason here for further misadventures,0
the movie is neither cathartic nor entertaining,0
johnny depp is superb but the rest of the movie doesnt hold water,0
there has never been a better time for a womancentric movie especially one about a smart angry woman,1
far less would have been much more though the geriatric protagonists salty sexual wit and impulse to share a joint with a passing stranger spice up the often dreary chronological procession of family episodes,0
come to think of it a more skillful production would have set aside the entire supernatural aspect of the film altogether as any teenager who has played a real game of truth or dare can tell you the experience doesnt need any demons to terrorize,0
after the artistic and commercial failure of undertow his only genre film green is back on terra firma with a grim and harsh yet lyrical dissection of three emotionally intense relationships,1
creating the entire production of the first downton abbey on tv into an actual movie for the theaters must have been a huge job but turned out to be astonishing and is great fun to watch,1
if demmes version lacks the wallop of its predecessor it is more likely to be popular with contemporary audiences who will enjoy not only its labyrinthine twists but its stars burnished professionalism,1
its like someone let all the air out after about the minute mark,0
unless audiences think curtis scampering after a runaway ham is funny theyll want to skip this christmas movie instead,0
blomkamp crams his tale with reams of topical material its potent stuff or at least it would be if the movie surrounding it didnt take so many shortcuts,0
you have to see it to believe it but its a rare remake that actually works chilling in all the right ways and infusing enough modern sensibility for our current social climate,1
as jason entries go thereve been worse but,0
it frequently seems as though jackson was less interested in making the hobbit than in remaking his own fabulously successful lord of the rings series,0
the films refusal to produce a campy critique feels more like the product of lack of imagination than a purposeful repudiation,0
its not a movie that feels designed to sell toys its a movie that feels designed to spark imaginations,1
its a pretty simple tale but true to his western influences yamada slows down the action and stretches it out to a prizewinning length,0
captain marvel is an unremarkable passable time killerbrie larsons performance is woodenwhile the films big action scenes are so lacking in imagination the screen often looks as though its being continually doused in technicolour vomit,0
for love for country or for suspense allied packages the timeworn loveinthetimeofwar trope with dutiful uninspiring attention,0
quiet reflective and intimate i think were alone now is an exceptional exhibition for dinklage and fanning and a further illustration of the dynamic talent of filmmaker reed morano,1
spends the majority of its running time jerking the audiences chain before coming to an abrupt ending,0
what the film does is less idiotic more insidious it erases historical and institutional legacies of racism,0
if the yardstick for mob flicks is goodfellas and it should be then brother doesnt stand a chance on its own however it is a stylish colourful film,1
allens admittedly funny lines get lost in the mess and midler in relatively restrained mode fades away altogether,0
its a reminder that the victims of war need their stories told a responsibility that sometimes comes at the cost of the storytellers themselves,1
what the leads do right is what the movie does right this movie it gets the drama down they really do feel like a couple thats in love and against all odds,1
this king falls distressingly short of the crown,0
has considerable heart pluck and amiable ambling chemistry but no welldefined angle driving it so all the satirical underpinnings feel flat and undercooked unattached to a more grounded reality,0
a shameless promotional piece but compared to the mcdonaldspushing mac and me and the cokehawking leonard part the wizard almost looks as exceptional as the wizard of oz by comparison,0
entertaining for so long its a downer to sit through the dumbeddown finale,0
despite its lofty aspirations and late th century setting this one belongs right up there with showgirls in the highcamp section of your local video store,0
if you were expecting subtlety you should have your head examined but this money machine works like gangbusters,1
estevezs hagiography feels simpleminded thats not to say there werent achievements to be honored in robert f kennedys career bobby just doesnt bother to do so,0
the art of racing in the rain is a movie that will stir emotion milo ventimiglia and amanda seyfried should be applauded for their acting but kevin costner steals the show enzo the dogs voice,1
a puzzling and uneven tonal mess,0
really pretty lame,0
there are cute moments and some very nice performances all thats missing is a movie,0
a sharply recorded and realized picture of what lurks beneath our surface,1
not since gaspar nos enter the void have i been so mesmerized by a film i found morally repugnant,1
a horror movie for anyone whos survived layoffs and pay cuts and been told to work smarter,1
what shazam does really really well is pummel us with more aggressive versions of wellworn blockbuster tropes,0
a spunky documentary about the frantic efforts to resurrect the moribund sport of bowling,1
matches the glossy calculated kinkiness of a paycable television series to a story that unfolds like a young adult authors stab at a bret easton ellis novel,0
the movie is many things at once,1
it still seems like there should be more tension in two for the money than simply watching grown men bite their lips as they watch pro games on tv monitors,0
it remains an outstanding example of the filmmakers power to transform an environment through the selection of detail everything in it is familiar but nothing is recognizable,1
reeves does an excellent job of being a stoic servant bound by honour to reject love and embrace death and stoic servant sounds a little like an actor stuck trying to make the best of a big budget film collapsing all around him if you think about it,0
limp and lifeless this next door neighbor should be evicted to dvd,0
another funny and touching entry into the most iconic pixar saga a colorful and imaginative adventure where our beloved characters question their purpose in life full review in spanish,1
the film clara has lots of fascinating reallife science and there are plenty of delicious astronomical visuals but the character of clara herself comes across as a bit too much of the manic pixie dream girl archetype,0
how many screenwriters does it take to space out a seemingly endless string of explosions well according to london has fallen no fewer than four,0
definitely outdoes the first film its the godfather ii of computer animated films,1
a shockingly poignant portrait of the jealousies that arise when the creative process goes haywire,1
